date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:57	493/493	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/robots.txt		(from )
08:31:57	1052/1052	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/	C:/My%20Web%20Sites/prueba/torreycaballo.com/index.html	(from )
08:31:58	1052/1052	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/logo192.png	C:/My%20Web%20Sites/prueba/torreycaballo.com/logo192.html	(from https://torreycaballo.com/)
08:31:58	1052/1052	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/manifest.json	C:/My%20Web%20Sites/prueba/torreycaballo.com/manifest.html	(from https://torreycaballo.com/)
08:31:58	12633/12633	---M-Z	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/assets/logos/logo.png	C:/My%20Web%20Sites/prueba/torreycaballo.com/assets/logos/logo.png	(from https://torreycaballo.com/)
08:31:59	408833/408833	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/static/js/main.b5eba323.js	C:/My%20Web%20Sites/prueba/torreycaballo.com/static/js/main.b5eba323.js	(from https://torreycaballo.com/)
08:31:59	27663/27663	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/static/css/main.cc0efe1e.css	C:/My%20Web%20Sites/prueba/torreycaballo.com/static/css/main.cc0efe1e.css	(from https://torreycaballo.com/)
08:31:59	8314/8314	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/static/media/about.1292412e9feb35a7c172.svg	C:/My%20Web%20Sites/prueba/torreycaballo.com/static/media/about.1292412e9feb35a7c172.svg	(from https://torreycaballo.com/static/css/main.cc0efe1e.css)
08:32:00	6099/6099	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/static/media/benefits.03e0ef119dae268a6f4e.svg	C:/My%20Web%20Sites/prueba/torreycaballo.com/static/media/benefits.03e0ef119dae268a6f4e.svg	(from https://torreycaballo.com/static/css/main.cc0efe1e.css)
08:32:00	5326/5326	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/static/media/contact.9a6c1f656b3371e61a12.svg	C:/My%20Web%20Sites/prueba/torreycaballo.com/static/media/contact.9a6c1f656b3371e61a12.svg	(from https://torreycaballo.com/static/css/main.cc0efe1e.css)
08:32:01	4610/4610	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/static/media/portfolio.7a0893b8b2d768df1f67.svg	C:/My%20Web%20Sites/prueba/torreycaballo.com/static/media/portfolio.7a0893b8b2d768df1f67.svg	(from https://torreycaballo.com/static/css/main.cc0efe1e.css)
08:32:01	7134/7134	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/static/media/services.96d0becb8c2910da9f23.svg	C:/My%20Web%20Sites/prueba/torreycaballo.com/static/media/services.96d0becb8c2910da9f23.svg	(from https://torreycaballo.com/static/css/main.cc0efe1e.css)
08:32:01	7739/7739	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20May%202023%2016:19:44%20GMT	https://torreycaballo.com/static/media/testimonials.247fcaa3f1e96497e5d5.svg	C:/My%20Web%20Sites/prueba/torreycaballo.com/static/media/testimonials.247fcaa3f1e96497e5d5.svg	(from https://torreycaballo.com/static/css/main.cc0efe1e.css)
